Country,Localite,Category,Value,Index_days,Monthly,Lat,Long,Population,GCD_m,GCD_km,ln_km,LnIndex,LnGCD_m,LnPop,COO_1,,Speed
1,Gueckedou,Cases,0,1,1,8.566667,-10.133300,291823,492.89,.49,-.71,.69,6.20,12.58,.11924,,492.89
1,Macenta,Cases,0,49,2,8.550000,-9.466670,298282,72958.77,72.96,4.29,3.91,11.20,12.61,.04678,,1488.95449
1,Kissidougou,Cases,0,54,2,9.183333,-10.100000,283609,68260.60,68.26,4.22,4.01,11.13,12.56,.04140,,1264.085185
1,Nzerekore,Cases,0,58,2,7.750000,-8.816670,396118,170729.63,170.73,5.14,4.08,12.05,12.89,.03788,,2943.61431
2,Lofa County,Cases,0,117,4,8.416667,-9.750000,276863,45211.76,45.21,3.81,4.77,10.72,12.53,.00089,,386.4252991
1,Kankan,Cases,0,117,4,10.383300,-9.300000,472112,221344.53,221.34,5.40,4.77,12.31,13.06,.01159,,1891.83359
1,Conakry,Cases,0,117,4,9.516667,-13.700000,1667864,405744.88,405.74,6.01,4.77,12.91,14.33,.06148,,3467.904957
1,Dabola,Cases,0,124,5,10.750000,-11.116700,182951,265742.75,265.74,5.58,4.83,12.49,12.12,.01226,,2143.086694
1,Djingaraye,Cases,0,127,5,11.300000,-10.716700,195662,310614.10,310.61,5.74,4.85,12.65,12.18,.01671,,2445.780315
2,Grand Cape Mount,Cases,0,130,5,6.750000,-11.366700,127076,243707.69,243.71,5.50,4.88,12.40,11.75,.00916,,1874.674538
2,Margibi County,Cases,0,130,5,6.530000,-10.351700,209923,227760.01,227.76,5.43,4.88,12.34,12.25,.00831,,1752.000077
2,Bong County,Cases,0,130,5,6.998056,-9.473060,333481,188944.94,188.94,5.24,4.88,12.15,12.72,.00648,,1453.422615
2,Nimba County,Cases,0,130,5,7.362222,-8.706110,462026,206345.83,206.35,5.33,4.88,12.24,13.04,.00729,,1587.275615
2,Montserrado County,Cases,0,130,5,6.445556,-10.609700,1118241,241193.69,241.19,5.49,4.88,12.39,13.93,.00901,,1855.336077
2,Grand Gedeh,Cases,0,143,5,6.066667,-8.133330,125258,354822.22,354.82,5.87,4.97,12.78,11.74,.02057,,2481.274266
1,Telimele,Cases,0,173,6,10.900000,-13.033300,283639,409955.75,409.96,6.02,5.16,12.92,12.56,.02484,,2369.686416
3,Kailahun,Cases,0,176,6,8.277222,-10.573900,358190,57669.67,57.67,4.05,5.18,10.96,12.79,.01219,,327.6685795
1,Boffa,Cases,0,178,6,10.166670,-14.033300,211063,463168.26,463.17,6.14,5.19,13.05,12.26,.05059,,2602.068876
3,Moyamba,Cases,0,179,6,8.160556,-12.433300,260910,256685.61,256.69,5.55,5.19,12.46,12.47,.00131,,1433.997821
3,Koinadugu,Cases,0,179,6,9.583333,-11.550000,265758,192056.40,192.06,5.26,5.19,12.17,12.49,.00003,,1072.940782
3,Bo,Cases,0,179,6,7.956389,-11.740000,463668,189246.43,189.25,5.24,5.19,12.15,13.05,.00002,,1057.242626
3,Kenema,Cases,0,179,6,7.875833,-11.190800,497948,139137.01,139.14,4.94,5.19,11.84,13.12,.00089,,777.3017318
3,Bombali,Cases,0,182,7,8.881667,-12.044200,408390,212432.68,212.43,5.36,5.21,12.27,12.92,.00015,,1167.212527
3,Freetown,Cases,0,182,7,8.484444,-13.234400,772873,340670.61,340.67,5.83,5.21,12.74,13.56,.00594,,1871.816538
